Company Name,Location,WARN Dated,Date of Layoff/Closure,Number Laid Off/Affected,Notes
EGS Customer Care Inc,"Fargo, ND",7/31/2015,12/31/2015,95,
Benchmark Electronics Inc,"Dunseith, ND",8/31/2015,11/1/2015,72,
EGS Customer Care Inc,"Fargo, ND",8/2/2015,12/31/2015,40,
Pumpco,"Minot, ND",9/2/2015,9/5/2015,69,
Baker Hughes,"Dickinson, ND",10/5/2015,9/23/2015,117,
EGS Customer Care Inc,"Fargo, ND",9/22/2015,12/31/2015,20,
Fidelity Exploration & Production Co,"Stanley, ND",11/9/2015,12/17/2015,3,
Dakota Westmoreland,"Beulah, ND",1/8/2016,3/8/2016,95,
MAC Inc,"Bismarck, ND",2/17/2016,7/29/2016,73,
Pizza Corner Inc,"Valley City, ND",3/18/2016,3/20/2016,130,
Calfrac Well Services Corp,"Williston, ND",4/27/2016,6/26/2016,11,
Calfrac Well Services Corp,"Williston, ND",5/4/2016,7/3/2016,3,
Calfrac Well Services Corp,"Williston, ND",5/18/2016,7/17/2016,55,
Sanjel,"Williston, ND",5/5/2016,5/31/2016,148,
Proactive Technologies Inc,"Minot, ND",9/7/2016,10/31/2016,10,
XPO Logistics,"Bismarck, ND",10/27/2016,12/31/2016,345,
Experience Works,Multiple sites,11/7/2016,11/15/2006,5,
Rust Contractors Inc,"Beulah, ND",2/10/2017,Began 1/10/17,387,
Vanity Inc,Multiple sites,2/28/2017,4/28/2017,104,
HERE North America LLC,"Fargo, ND",8/29/2017,starts 10/29/2017,173,
Atos IT Solutions & Svcs Inc,"Fargo, ND",10/11/2017,starts 10/11/2017,223,
Keywords Studios PLC,"Fargo, ND",10/29/2018,12/31/2018,67,
Hornbachers,"Grand Forks, ND",12/3/2018,2/4/2019,98,
Wells Concrete,"Grand Forks, ND",11/18/2019,12/31/2019,95,
Wells Fargo,"Fargo, ND",1/23/2020,3/22/2020,57,
MBI Energy Services,"Ross & Watford City, ND",3/16/2020,Not stated,96,
MBI Energy Services,"Belfield, ND",3/16/2020,Not stated,146,
Steffes,"Grand Forks & Dickinson, ND",3/24/2020,3/25/2020,198,
Calfrac Well Services Corp,"Williston, ND",3/25/2020,Starts 3/25/2020,212,
Novum Pharmaceutical,"Fargo, ND",3/27/2020,Not stated,77,
Liberty Oilfield Svcs LLC,"Williston, ND",4/2/2020,4/2/2020,204,
Calfrac Well Services Corp,"Williston, ND",4/20/2020,5/1/2020,83,
Holister Company,"Fargo, ND",4/8/2020,4/12/2020,22,
Vision Works,"Fargo, ND",4/23/2020,4/4/2020,5,
PerfX Wire Services LLC,"Williston, ND",5/19/2020,3/21/2020,130,
PerfX Wire Services LLC,"Minot, ND",5/19/2020,3/21/2020,130,
Home2Suites Hotel,"Fargo, ND",7/2/2020,6/30/2020,10,
Hilton Garden Inn Hotel,"Fargo, ND",7/2/2020,6/30/2020,68,
BJ Services LLC,"Dickinson, ND",7/19/2020,8/2/2020,122,
Watsonville Community Hospital,"Watsonville, CA",8/15/2022,starts 8/30/2022,670,
Archway Marketing Services,"Fargo, ND",9/19/2022,11/23/2022,304,Employees are remote workers offering services to Microsoft Corp in Fargo. Contract ending.
"Summit Technical Solutions, LLC","Cavalier, ND",2/15/2023,3/1/2032 - 4/30/2023,53,STS Contract ending at PARCS site on Cavalier AFS
Yellow Corporation,"Nationwide (ND locations: Fargo, Bismarck, & Minot)",7/30/2023,7/30/2023,"approx. 22,00 nationwide (14 reported in ND)",
"Hershey Salty Snack Company (Dot's Pretzels, LLC)","Velva, ND",8/22/2023,10/27/2023,27,
Sheyenne Dakota Inc.,"West Fargo, ND",10/2/2023,,25+,date unknown at this time - number affected variable
"Cygnus Home Service, LLC (dba Yelloh)","Bismarck, ND",10/25/2023,12/15/2023,11,Ceasing operations in North Dakota.
ProFrac,"Dickinson, ND",3/3/2025 5/2/2025,,5,Acceptance of transfer offers resulted in 5 affected workers.
"Cygnus Home Service, LLC (dba Yelloh)",Minnesota,5/28/2024 7/27/2024,,5,"The following positions held by North Dakota residents are being eliminated as a result: Area Manager; Route Sales Representative, and Service Ops Specialist. All of these individuals work at a facility in Minnesota."
"Cygnus Home Service, LLC (dba Yelloh)",Nationwide,9/23/2024 11/22/2024,,1,Affected employee working remotely in North Dakota.
"Vimo, dba GetInsured",Nationwide - Remote,12/20/2024 2/19/2025,,430,Affected employee working remotely in North Dakota.
Accelerate360 Distribution,Nationwide - Remote,4/25/2025 6/28/2025,,324,Dakota Remote Work Unit closure; 10 remote workers reside in North Dakota
Hess Corporation,"Minot, ND",7/21/2025beginning 9/26/2025,,111,Permanent layoffs
"Transdev Services, Inc.","Fargo, ND",10/21/2025 12/21/2025,,112,Closure due to contract termination.
Noridian Healthcare Solutions,Statewide,1/15/2026 1/28/2026,,47,Mass separation
